Date,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
27.04.2022 14:00,3.0,674.2,766.4,-0.9,84,从东北偏东方向吹来的风,2,,10,,雨或毛毛雨夹雪较弱 ,雨,小雨,0.7,,,,2500或更高，或无云。,,,21.0,0.6,4,12,,,,
27.04.2022 11:00,2.0,675.1,767.6,0.1,90,从东方吹来的风,2,,11,,雨或毛毛雨夹雪较弱 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,0.7,15.3,,,2500或更高，或无云。,,,13.0,0.5,3,12,,,,
27.04.2022 08:00,3.1,675.0,766.9,0.9,78,从东方吹来的风,3,,11,,小雨夹雪或小冰粒 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,1.8,15.3,,,2500或更高，或无云。,,,29.0,-0.4,0.4,12,,,,
27.04.2022 05:00,4.8,674.1,764.8,0.6,61,从东方吹来的风,4,,11,,间歇性雨，不冻，在观测时较弱 ,,,4.8,15.3,,,2500或更高，或无云。,,,14.0,-2.1,无降水,12,,,,
27.04.2022 02:00,7.1,673.5,763.7,,15,从东北偏东方向吹来的风,6,,12,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,5.0,15.3,,,2500或更高，或无云。,,,30.0,-17.8,,,,,,
26.04.2022 20:00,9.8,672.7,763.6,1.1,10,从东北方吹来的风,2,,13,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,5.0,20.5,,,2500或更高，或无云。,,,30.0,-20.4,,,,,,
26.04.2022 17:00,14.6,671.6,761.8,-0.8,7,从北方吹来的风,5,,13,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,5.0,,,,2500或更高，或无云。,,,30.0,-20.9,,,,,,
26.04.2022 14:00,14.3,672.4,762.0,-1.1,9,从北方吹来的风,6,,17,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,5.0,,,,2500或更高，或无云。,,,30.0,-18.2,24,12,,,,
26.04.2022 11:00,11.3,673.5,763.0,0.6,12,从西北偏北方向吹来的风,7,,17,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,5.0,,,,2500或更高，或无云。,,,30.0,-17.1,无降水,12,,,,
26.04.2022 08:00,7.4,672.9,761.9,1.4,15,从西北偏北方向吹来的风,6,,17,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,5.0,,,,2500或更高，或无云。,,,19.0,-17.6,无降水,12,,,,
26.04.2022 05:00,5.5,671.5,759.3,1.9,18,从西北偏北方向吹来的风,4,,17,,云量发展情况没有进行观测或无法观测。 ,,,3.4,30.2,,,2500或更高，或无云。,,,10.0,-17.0,无降水,12,,,,
26.04.2022 02:00,9.8,669.6,756.4,,22,从西北偏北方向吹来的风,9,,17,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,,30.2,,,2500或更高，或无云。,,,13.0,-10.9,无降水,12,,,,
25.04.2022 20:00,20.6,664.0,750.3,1.8,20,从北方吹来的风,9,,16,,霾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,,30.2,,,2500或更高，或无云。,,,5.0,-3.1,无降水,12,,,,
25.04.2022 17:00,29.1,662.2,748.9,-1.2,8,从西方吹来的风,6,,12,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,,30.2,,,2500或更高，或无云。,,,25.0,-8.5,无降水,12,,,,
25.04.2022 14:00,29.5,663.4,749.7,-2.1,7,从西方吹来的风,6,,10,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,3.4,30.0,,,2500或更高，或无云。,,,26.0,-9.9,无降水,12,,,,
25.04.2022 11:00,25.0,665.5,752.8,-1.0,12,从西南偏南方向吹来的风,4,,8,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,3.4,27.7,,,2500或更高，或无云。,,,15.0,-6.4,无降水,12,,,,
25.04.2022 08:00,17.1,666.5,752.9,0.1,21,从东南方吹来的风,1,,4,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,3.4,27.7,,,2500或更高，或无云。,,,11.0,-5.4,无降水,12,,,,
25.04.2022 05:00,4.4,666.4,754.0,0.4,52,从西北方吹来的风,1,,9,,云量发展情况没有进行观测或无法观测。 ,,,3.7,27.7,,,2500或更高，或无云。,,,14.0,-4.6,无降水,12,,,,
25.04.2022 02:00,8.4,666.0,753.0,,37,从西方吹来的风,1,,14,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,6.2,27.7,,,2500或更高，或无云。,,,14.0,-5.4,无降水,12,,,,
24.04.2022 20:00,22.3,665.5,752.2,1.0,13,从西方吹来的风,3,,14,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,,27.7,,,2500或更高，或无云。,,,21.0,-7.4,无降水,12,,,,
24.04.2022 17:00,26.8,664.5,751.6,-0.8,8,从西方吹来的风,5,,14,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,6.2,27.7,,,2500或更高，或无云。,,,23.0,-10.2,无降水,12,,,,
24.04.2022 14:00,26.7,665.3,751.5,-1.7,9,从西方吹来的风,6,,12,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,6.2,28.8,,,2500或更高，或无云。,,,16.0,-8.8,无降水,12,,,,
24.04.2022 11:00,21.7,667.0,753.5,-0.1,15,从西南方吹来的风,3,,8,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,6.2,28.8,,,2500或更高，或无云。,,,13.0,-6.0,无降水,12,,,,
24.04.2022 08:00,14.7,667.1,754.3,0.5,27,从西北偏西方向吹来的风,2,,6,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,6.2,,,,2500或更高，或无云。,,,14.0,-4.1,无降水,12,,,,
24.04.2022 05:00,6.4,666.6,753.9,0.3,41,从北方吹来的风,1,,14,,云量发展情况没有进行观测或无法观测。 ,,,6.4,28.8,,,2500或更高，或无云。,,,13.0,-5.9,无降水,12,,,,
24.04.2022 02:00,13.3,666.3,752.5,,23,从西北方吹来的风,2,,17,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,,28.8,,,2500或更高，或无云。,,,15.0,-7.4,无降水,12,,,,
23.04.2022 20:00,20.0,663.7,750.3,1.3,12,从西北偏西方向吹来的风,1,,17,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,,28.8,,,2500或更高，或无云。,,,14.0,-10.3,无降水,12,,,,
23.04.2022 17:00,27.5,662.4,748.5,-1.0,7,从西方吹来的风,8,,17,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,,28.8,,,2500或更高，或无云。,,,18.0,-11.4,无降水,12,,,,
23.04.2022 14:00,27.4,663.4,751.0,-1.8,9,从西方吹来的风,8,,16,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,,27.8,,,2500或更高，或无云。,,,16.0,-8.2,无降水,12,,,,
23.04.2022 11:00,24.2,665.2,751.6,-1.0,13,从西方吹来的风,6,,11,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,0.9,24.3,,,2500或更高，或无云。,,,15.0,-5.9,无降水,12,,,,
23.04.2022 08:00,15.7,666.2,754.0,0.1,23,从西方吹来的风,2,,8,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,0.9,21.7,,,2500或更高，或无云。,,,20.0,-5.4,无降水,12,,,,
23.04.2022 05:00,10.5,666.1,753.7,-0.4,26,从西南偏西方向吹来的风,3,,11,,云量发展情况没有进行观测或无法观测。 ,,,-2.3,21.7,,,2500或更高，或无云。,,,20.0,-8.2,无降水,12,,,,
23.04.2022 02:00,1.9,666.5,755.5,,49,从西方吹来的风,1,,15,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,,21.7,,,2500或更高，或无云。,,,18.0,-7.9,无降水,12,,,,
22.04.2022 20:00,14.9,667.0,756.4,,15,从西北偏西方向吹来的风,1,,15,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,,21.7,,,2500或更高，或无云。,,,30.0,-11.5,无降水,12,,,,
22.04.2022 17:00,20.9,667.0,756.8,,10,从西北偏西方向吹来的风,6,,15,, ,,,-2.3,21.7,,,,,,30.0,-11.8,无降水,6,,,,
22.04.2022 14:00,21.1,668.2,757.3,-2.9,12,从西方吹来的风,6,,12,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,-2.3,21.1,,,2500或更高，或无云。,,,28.0,-9.4,无降水,12,,,,
22.04.2022 11:00,12.1,671.1,761.6,-0.7,29,从西南方吹来的风,4,,8,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,-2.3,,,,2500或更高，或无云。,,,30.0,-5.4,无降水,12,,,,
22.04.2022 08:00,6.0,671.8,762.9,0.6,49,从西方吹来的风,2,,16,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,-2.3,,,,2500或更高，或无云。,,,30.0,-3.9,无降水,12,,,,
22.04.2022 05:00,-2.1,671.2,761.9,-0.1,76,从西北方吹来的风,1,,17,,云量发展情况没有进行观测或无法观测。 ,,,-2.1,20.5,,,2500或更高，或无云。,,,30.0,-5.8,无降水,12,,,,
22.04.2022 02:00,3.0,671.3,761.1,,60,从西北方吹来的风,4,,17,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,3.0,20.5,,,2500或更高，或无云。,,,30.0,-4.2,无降水,12,,,,
21.04.2022 20:00,9.4,667.6,756.3,4.0,42,从西北偏北方向吹来的风,9,,17,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,9.4,20.5,,,2500或更高，或无云。,,,26.0,-2.9,无降水,12,,,,
21.04.2022 17:00,18.7,663.6,750.2,0.4,20,从西北偏西方向吹来的风,7,,15,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,15.0,23.0,,,2500或更高，或无云。,,,9.0,-4.7,无降水,12,,,,
21.04.2022 14:00,19.5,663.2,749.7,-0.1,15,从西北偏西方向吹来的风,7,,15,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,15.0,23.8,,,2500或更高，或无云。,,,14.0,-7.8,无降水,12,,,,
21.04.2022 11:00,19.1,663.3,749.8,1.0,17,从西北偏西方向吹来的风,6,,,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,15.0,23.8,,,2500或更高，或无云。,,,10.0,-6.5,无降水,12,,,,
21.04.2022 08:00,16.4,662.3,748.6,1.4,22,从西方吹来的风,5,,9,,霾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,9.7,23.8,,,2500或更高，或无云。,,,1.9,-5.4,无降水,12,,,,
21.04.2022 05:00,16.8,660.9,746.5,0.3,15,从西方吹来的风,4,,11,,霾 ,,,,23.8,,,2500或更高，或无云。,,,1.6,-10.0,无降水,12,,,,
21.04.2022 02:00,16.5,660.6,746.3,,20,从西南偏西方向吹来的风,4,,,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,,23.8,,,2500或更高，或无云。,,,24.0,-6.5,无降水,12,,,,
20.04.2022 20:00,20.2,661.6,748.9,0.3,12,从西南偏西方向吹来的风,4,,13,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,,23.8,,,2500或更高，或无云。,,,20.0,-10.1,无降水,12,,,,
20.04.2022 17:00,23.0,661.3,750.0,-1.8,10,从西南偏西方向吹来的风,7,,13,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,,23.8,,,2500或更高，或无云。,,,24.0,-10.2,无降水,12,,,,
20.04.2022 14:00,22.3,663.1,751.9,,12,从西南偏南方向吹来的风,6,,13,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,-2.3,,,,2500或更高，或无云。,,,21.0,-8.5,无降水,12,,,,
20.04.2022 08:00,9.6,667.3,756.3,-0.2,34,从东北偏东方向吹来的风,1,,3,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,-2.3,,,,2500或更高，或无云。,,,9.0,-5.5,无降水,12,,,,
20.04.2022 05:00,-2.1,667.5,757.5,-1.4,62,从北方吹来的风,1,,10,,云量发展情况没有进行观测或无法观测。 ,,,-2.3,21.0,,,2500或更高，或无云。,,,14.0,-8.4,无降水,12,,,,
20.04.2022 02:00,-0.1,668.9,758.8,,54,从西北方吹来的风,1,,11,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,-0.3,21.0,,,2500或更高，或无云。,,,10.0,-8.3,无降水,12,,,,
19.04.2022 20:00,14.3,669.9,759.4,-0.1,20,从西北偏西方向吹来的风,2,,11,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,,21.0,,,2500或更高，或无云。,,,30.0,-8.4,无降水,12,,,,
19.04.2022 17:00,20.2,670.0,759.1,-1.6,13,从西北偏西方向吹来的风,5,,11,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,0.7,21.0,,,2500或更高，或无云。,,,30.0,-9.1,无降水,12,,,,
19.04.2022 14:00,20.2,671.6,761.4,-2.4,13,从西方吹来的风,4,,10,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,0.7,20.3,,,2500或更高，或无云。,,,30.0,-9.1,无降水,12,,,,
19.04.2022 11:00,16.5,674.0,764.2,-1.1,22,从西南偏西方向吹来的风,3,,8,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,0.7,18.5,,,2500或更高，或无云。,,,23.0,-5.3,无降水,12,,,,
19.04.2022 08:00,8.9,675.1,765.9,,37,从西北偏西方向吹来的风,1,,6,, ,,,0.7,18.5,,,,,,22.0,-5.0,无降水,6,,,,
19.04.2022 05:00,5.0,674.8,764.9,-0.1,40,从西方吹来的风,3,,9,,云量发展情况没有进行观测或无法观测。 ,,,0.7,18.5,,,2500或更高，或无云。,,,30.0,-7.5,无降水,12,,,,
19.04.2022 02:00,2.3,674.9,765.7,,47,从北方吹来的风,0,,11,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,0.9,18.5,,,2500或更高，或无云。,,,22.0,-8.1,无降水,12,,,,
18.04.2022 20:00,10.9,674.5,765.4,0.7,23,从西北偏北方向吹来的风,2,,11,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,5.6,18.5,,,2500或更高，或无云。,,,30.0,-9.4,无降水,12,,,,
18.04.2022 17:00,17.9,673.8,763.6,-0.6,13,从西北偏北方向吹来的风,5,,11,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,5.6,18.5,,,2500或更高，或无云。,,,30.0,-10.9,无降水,12,,,,
18.04.2022 14:00,17.2,674.4,764.2,-1.0,18,从西南偏南方向吹来的风,3,,6,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,5.6,17.3,,,2500或更高，或无云。,,,30.0,-7.3,无降水,12,,,,
18.04.2022 11:00,14.3,675.4,765.9,0.6,33,从西南偏南方向吹来的风,2,,6,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,5.6,15.3,,,2500或更高，或无云。,,,26.0,-1.7,无降水,12,,,,
18.04.2022 08:00,7.6,674.8,766.4,1.3,76,从西北方吹来的风,2,,6,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,5.6,,,,2500或更高，或无云。,,,8.0,3.5,无降水,12,,,,
18.04.2022 05:00,6.4,673.5,763.9,0.2,83,从西北偏北方向吹来的风,2,,14,,薄雾 ,,,1.1,15.3,,,2500或更高，或无云。,,,7.0,3.7,0.6,12,,,,
18.04.2022 02:00,7.1,673.3,763.5,,77,从西北偏西方向吹来的风,3,,,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,-0.5,15.3,,,2500或更高，或无云。,,,14.0,3.3,0.6,12,,,,
17.04.2022 20:00,7.1,672.8,764.2,1.6,83,从北方吹来的风,4,,14,,小雨（不冻） ,小雨,在整个相应周期内云遮住了一半或以下的天空,-0.5,15.3,,,2500或更高，或无云。,,,9.0,4.4,0.6,12,,,,
17.04.2022 17:00,14.0,671.2,762.2,-1.1,28,从西南方吹来的风,3,,9,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,-0.5,17.0,,,2500或更高，或无云。,,,21.0,-4.2,无降水,12,,,,
17.04.2022 14:00,14.5,672.3,763.6,-0.8,25,从南方吹来的风,3,,,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,-0.5,17.9,,,2500或更高，或无云。,,,19.0,-5.3,无降水,12,,,,
17.04.2022 11:00,13.9,673.1,764.3,-0.3,22,从西北偏西方向吹来的风,2,,4,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,-0.5,17.9,,,2500或更高，或无云。,,,18.0,-7.5,无降水,12,,,,
17.04.2022 08:00,7.1,673.4,764.5,0.7,30,从北方吹来的风,1,,3,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,-0.5,17.9,,,2500或更高，或无云。,,,8.0,-9.3,无降水,12,,,,
17.04.2022 05:00,1.2,672.7,763.3,0.0,47,从东北偏北方向吹来的风,1,,5,,云量发展情况没有进行观测或无法观测。 ,,,-7.3,17.9,,,2500或更高，或无云。,,,12.0,-9.1,无降水,12,,,,
17.04.2022 02:00,-0.5,672.7,763.8,,51,从东南偏东方向吹来的风,1,,7,,霾 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,,17.9,,,2500或更高，或无云。,,,5.0,-9.6,无降水,12,,,,
16.04.2022 20:00,9.5,672.5,763.8,0.3,20,从西南方吹来的风,1,,7,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,,17.9,,,2500或更高，或无云。,,,10.0,-12.3,无降水,12,,,,
16.04.2022 17:00,17.0,672.2,763.6,-2.1,10,从西南方吹来的风,3,,7,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,,17.9,,,2500或更高，或无云。,,,25.0,-14.8,无降水,12,,,,
16.04.2022 14:00,16.5,674.3,766.0,-2.3,10,从西南方吹来的风,3,,7,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,-7.3,17.0,,,2500或更高，或无云。,,,28.0,-15.2,无降水,12,,,,
16.04.2022 11:00,11.8,676.6,769.5,-0.8,11,从西南偏南方向吹来的风,2,,7,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,-7.3,13.7,,,2500或更高，或无云。,,,18.0,-17.7,无降水,12,,,,
16.04.2022 08:00,4.8,677.4,770.5,0.2,23,从西北偏西方向吹来的风,2,,4,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,-7.3,13.7,,,2500或更高，或无云。,,,30.0,-14.6,无降水,12,,,,
16.04.2022 05:00,-3.5,677.2,769.9,-0.6,32,从西北方吹来的风,1,,6,,云量发展情况没有进行观测或无法观测。 ,,,-4.6,13.7,,,2500或更高，或无云。,,,24.0,-17.8,无降水,12,,,,
16.04.2022 02:00,-3.4,677.8,770.8,,35,从北方吹来的风,2,,7,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,-4.3,13.7,,,2500或更高，或无云。,,,24.0,-16.7,无降水,12,,,,
15.04.2022 20:00,3.1,677.6,771.0,,25,从东北偏东方向吹来的风,2,,10,, ,,,-3.9,13.7,,,,,,11.0,-15.0,无降水,6,,,,
15.04.2022 17:00,13.3,677.0,769.6,-1.9,10,从东南方吹来的风,2,,10,,云量发展情况没有进行观测或无法观测。 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,-3.9,13.7,,,2500或更高，或无云。,,,30.0,-17.7,无降水,12,,,,
